name,code,enterprise_code,cm_code,scheme_code,demand_code,contract_price,contract_date,expect_complete_date
高品质长效高端电子试剂包材的开发研究,A1,220106CGGKSKTB9P,220125C0W7G5DFCH,220304BCNMDGFZHH,21123182CT1GGPDP,500000,2021-11-30,2024-12-31
人参及其他系列康养产品开发项目,A3,220127B0RHF1CYRP,220126B7802WXY5P,2203047FFWHM47F8,220304AS4K6RCXD4,1000000,2021-7-27,2023-7-26
对虾高位池养殖水质调控与尾水净化技术开发,A5,220221B3GB1MSS14,220210BG7M3NAPPH,220302C2MTYRGNTC,220301BZ2K4C19WH,50000,2021-10-25,2023-12-31
高品质长效高端电子试剂包材的开发研究,A7,220221B5N2X9KTXP,220301AG6RH4YKS8,220304BCNMDGFZHH,21123182CT1GGPDP,500000,2021-11-30,2024-12-31
高品质长效高端电子试剂包材的开发研究,A9,220106CGGKSKTB9P,220301AG6RH4YKS8,220304BCNMDGFZHH,21123182CT1GGPDP,500000,2021-11-30,2024-12-31
高品质长效高端电子试剂包材的开发研究,A1,220106CGGKSKTB9P,220125C0W7G5DFCH,220304BCNMDGFZHH,21123182CT1GGPDP,500000,2021-11-30,2024-12-31
人参及其他系列康养产品开发项目,A3,220127B0RHF1CYRP,220126B7802WXY5P,2203047FFWHM47F8,220304AS4K6RCXD4,1000000,2021-7-27,2023-7-26
对虾高位池养殖水质调控与尾水净化技术开发,A5,220221B3GB1MSS14,220210BG7M3NAPPH,220302C2MTYRGNTC,220301BZ2K4C19WH,50000,2021-10-25,2023-12-31
高品质长效高端电子试剂包材的开发研究,A7,220221B5N2X9KTXP,220301AG6RH4YKS8,220304BCNMDGFZHH,21123182CT1GGPDP,500000,2021-11-30,2024-12-31
高品质长效高端电子试剂包材的开发研究,A9,220106CGGKSKTB9P,220301AG6RH4YKS8,220304BCNMDGFZHH,21123182CT1GGPDP,500000,2021-11-30,2024-12-31
